eng,dutch,lev
comet,komeet,0.66667
liberal,liberaal,0.875
tropical,tropisch,0.625
termite,termiet,0.71429
dictator,dictator,1
technical,technisch,0.66667
wonderful,wonderbaar,0.6
external,extern,0.75
prehistoric,prehistorisch,0.84615
stand,staan,0.6
handicapped,gehandicapt,0.54545
alcoholic,alcoholicus,0.81818
alcoholic,alcoholist,0.8
metric,metriek,0.71429
commander,commandant,0.7
beaver,bever,0.83333
waterway,waterweg,0.75
helium,helium,1
intelligently,intelligent,0.84615
gravel,gravel,1
document,document,1
noble,nobel,0.6
cymbal,cimbaal,0.71429
fruit,fruit,1
apostrophe,apostrof,0.7
swallow,zwaluw,0.57143
mentally,mentaal,0.75
in,in,1
poplar,populier,0.625
puree,puree,1
coordinate,coördineren,0.58333
taxi,taxi,1
neon,neon,1
touch,toucheren,0.55556
speed,spoed,0.8
role,rol,0.75
real,real,1
frown,fronsen,0.57143
spectacular,spectaculair,0.91667
larva,larve,0.8
fortune,fortuin,0.71429
collective,collectief,0.8
greeting,begroeting,0.7
miracle,mirakel,0.57143
laugh,lach,0.6
rage,razen,0.6
perverse,pervers,0.875
sling,slingeren,0.55556
preacher,prediker,0.625
conservative,conservatief,0.83333
deficit,deficit,1
ethos,ethos,1
business,business,1
equivalent,equivalent,1
bazaar,bazaar,1
central,centraal,0.875
sensuous,sensueel,0.625
swimmer,zwemmer,0.71429
wolf,wolf,1
renovate,renoveren,0.66667
bedtime,bedtijd,0.71429
stoke,stoken,0.83333
elementary,elementair,0.8
racquet,racket,0.71429
stare,aanstaren,0.55556
stare,staren,0.83333
area,areaal,0.66667
lot,lot,1
scale,scala,0.8
printer,printer,1
tyrant,tiran,0.66667
lymph,lymfe,0.6
hire,huren,0.6
fraud,fraude,0.83333
circulation,circulatie,0.81818
define,definiëren,0.54545
juggler,jongleur,0.625
describe,beschrijven,0.54545
absurdity,absurditeit,0.72727
anarchy,anarchie,0.75
mathematics,mathematica,0.90909
you,jou,0.66667
poor,pover,0.6
polar,polair,0.83333
authoritarian,autoritair,0.69231
pool,poel,0.75
studio,studio,1
apathy,apathie,0.71429
hard-working,hardwerkend,0.66667
moonlight,maanlicht,0.66667
overseas,overzees,0.75
overseas,overzee,0.625
skeleton,skelet,0.75
religious,religieus,0.88889
carpet,karpet,0.83333
corps,corps,1
corps,korps,0.8
paradise,paradijs,0.75
screwdriver,schroevedraaier,0.53333
me,me,1
manager,menner,0.57143
manager,manager,1
study,studie,0.66667
anal,anaal,0.8
locomotive,locomotief,0.8
still,stil,0.8
orgasm,orgasme,0.85714
ma,ma,1
loose,los,0.6
excess,exces,0.83333
arena,arena,1
vegetarian,vegetarisch,0.72727
vegetarian,vegetariër,0.72727
soldier,soldaat,0.57143
heroin,heroïne,0.625
technique,techniek,0.66667
shuffle,schuifelen,0.6
family,familie,0.71429
conventional,conventioneel,0.84615
mysterious,mysterieus,0.9
excuse,excuseren,0.66667
excuse,excuus,0.66667
grill,grill,1
grill,grillen,0.71429
coalition,coalitie,0.77778
parasol,parasol,1
spontaneous,spontaan,0.54545
history,historie,0.75
arabia,arabië,0.71429
technological,technologisch,0.76923
tattoo,taptoe,0.66667
sceptic,scepticus,0.77778
idiocy,idiotie,0.57143
horizontal,horizontaal,0.90909
morphine,morfine,0.75
ego,ego,1
help,helpen,0.66667
help,hulp,0.75
reservoir,reservoir,1
hierarchy,hiërarchie,0.63636
urine,urine,1
indigestion,indigestie,0.81818
committee,comité,0.55556
hell,hel,0.75
clarinet,klarinet,0.875
exact,exact,1
lateral,lateraal,0.875
absence,absentie,0.75
foot,poot,0.75
stopper,stop,0.57143
stopper,stekker,0.57143
decimal,decimaal,0.875
democrat,democraat,0.88889
event,evenement,0.55556
magnet,magneet,0.85714
since,sinds,0.6
fountain,fontein,0.75
lord,lord,1
grimace,grimas,0.71429
bass,baars,0.6
bass,bassist,0.57143
bass,bas,0.75
base,basis,0.6
base,baseren,0.57143
ash,as,0.66667
pus,pus,1
revolutionary,revolutionair,0.84615
sheikh,sjeik,0.66667
american,amerikaanse,0.63636
american,amerikaan,0.77778
heartbeat,hartslag,0.55556
elder,vlier,0.6
elder,ouder,0.6
miss,missen,0.66667
blossom,bloesem,0.71429
station,station,1
station,statie,0.71429
hundred,honderd,0.57143
banana,banaan,0.66667
consonant,consonant,1
anticipate,anticiperen,0.72727
bride,bruid,0.6
utopia,utopie,0.83333
garrison,garnizoen,0.66667
contraception,contraceptie,0.84615
urgently,urgent,0.75
null,nul,0.75
gathering,vergadering,0.54545
trance,trance,1
scotland,schotland,0.88889
camouflage,camouflage,1
camouflage,camoufleren,0.72727
lip,lip,1
quota,quotum,0.66667
promenade,promenade,1
watt,watt,1
alpha,alfa,0.6
salary,salaris,0.71429
mobile,mobiel,0.66667
clear,klaar,0.6
flicker,flikkeren,0.66667
flicker,flakkeren,0.55556
caries,cariës,0.71429
translation,translatie,0.81818
dominant,dominant,1
zambia,zambia,1
capsule,capsule,1
co-operate,coöpereren,0.54545
perfume,parfumeren,0.6
perfume,parfum,0.71429
switzerland,zwitserland,0.81818
cramp,kramp,0.8
patriotism,patriottisme,0.83333
plausible,plausibel,0.77778
culture,cultuur,0.71429
schizophrenia,schizofrenie,0.76923
stall,stal,0.8
piss,pissen,0.66667
piss,pis,0.75
resonance,resonantie,0.8
experimental,experimenteel,0.84615
battery,batterij,0.75
motivation,motivatie,0.8
badminton,badminton,1
rebate,rabat,0.66667
mumble,mummelen,0.625
dialogue,dialoog,0.625
liver,lever,0.8
terrain,terrein,0.85714
socialist,socialist,1
governor,gouverneur,0.7
bikini,bikini,1
socialism,socialisme,0.9
guide,gids,0.6
grand,grandioos,0.55556
composition,compositie,0.81818
conflict,conflict,1
bonus,bonus,1
assortment,assortiment,0.90909
brussels,brussel,0.875
coup,coup,1
hither,hier,0.66667
informal,informeel,0.77778
percent,procent,0.71429
percent,percent,1
march,mars,0.6
march,marcheren,0.55556
radiator,radiator,1
evaluate,evalueren,0.66667
banjo,banjo,1
optician,opticien,0.875
pillar,pilaar,0.83333
pillar,pijler,0.66667
stagnate,stagneren,0.66667
strife,strijd,0.66667
hammer,hamer,0.83333
hammer,hameren,0.57143
popular,populair,0.875
mathematical,mathematisch,0.75
parade,paraderen,0.66667
parade,parade,1
creation,creatie,0.75
urgent,urgent,1
economic,economisch,0.8
escargot,escargot,1
parasite,parasiet,0.75
fanfare,fanfare,1
slash,slash,1
rum,rum,1
step,stap,0.75
taboo,taboe,0.8
shine,schijnen,0.625
shine,schijnsel,0.55556
gnome,gnoom,0.6
cigarette,sigaret,0.66667
hinge,hengsel,0.57143
italian,italiaans,0.77778
italian,italiaan,0.875
block,blok,0.8
nonsense,nonsens,0.875
conscientious,consciëntieus,0.78571
habitat,habitat,1
harem,harem,1
himself,hemzelf,0.71429
russian,russisch,0.625
injection,injectie,0.77778
theoretical,theoretisch,0.72727
pilgrim,pelgrim,0.85714
magazine,magazine,1
magazine,magazijn,0.75
traditional,traditioneel,0.83333
transport,transport,1
transport,transporteren,0.69231
theology,theologie,0.77778
department,departement,0.90909
tundra,toendra,0.71429
formal,formeel,0.71429
heroine,heldin,0.57143
structure,constructie,0.54545
structure,structuur,0.77778
antecedent,antecedent,1
temperament,temperament,1
depth,diepte,0.66667
series,serie,0.83333
aristocrat,aristocraat,0.90909
ammonia,ammoniak,0.875
phenomenon,fenomeen,0.6
compact,compact,1
baron,baron,1
aria,aria,1
mosque,moskee,0.66667
arrogance,arrogantie,0.8
geranium,geranium,1
passion,passie,0.71429
friendly,vriendelijk,0.54545
trough,trog,0.66667
stiff,stijf,0.8
asparagus,asperge,0.55556
verdict,verdict,1
pepper,peper,0.83333
pepper,peperen,0.57143
colonel,kolonel,0.85714
vampire,vampier,0.71429
cell,cel,0.75
experiment,experimenteren,0.71429
experiment,experiment,1
melancholy,melancholie,0.81818
melancholy,melancholiek,0.75
commercial,commercieel,0.81818
brooch,broche,0.66667
pancake,pannekoek,0.55556
paranoid,paranoïde,0.7
gene,gen,0.75
paranoia,paranoia,1
crab,krab,0.75
vehicle,vehikel,0.57143
bureaucracy,bureaucratie,0.75
parchment,perkament,0.66667
starter,starter,1
whisky,whisky,1
mythical,mythisch,0.625
speciality,specialiteit,0.75
publicity,publiciteit,0.72727
defective,defect,0.66667
picturesque,pittoresk,0.54545
arrangement,arrangement,1
circular,circulaire,0.8
scoop,schep,0.6
agenda,agenda,1
sperm,sperma,0.83333
costume,costuum,0.71429
costume,kostuum,0.57143
cruise,kruisen,0.71429
cruise,cruise,1
brood,broeden,0.57143
him,hem,0.66667
skater,schaatser,0.55556
snorkel,snorkelen,0.77778
front,front,1
handy,handig,0.66667
university,universitair,0.75
university,universiteit,0.75
guard,garde,0.6
testicle,testikel,0.625
mode,mode,1
mode,modus,0.6
mat,mat,1
gallant,galant,0.85714
rival,rivaal,0.83333
activist,activist,1
completely,compleet,0.7
intruder,indringer,0.55556
advisor,adviseur,0.75
corrosion,corrosie,0.77778
geometry,geometrie,0.77778
route,route,1
florida,florida,1
keel,kiel,0.75
projectile,projectiel,0.8
date,datum,0.6
date,dateren,0.57143
date,dadel,0.6
congo,congo,1
bitch,bitch,1
precisely,precies,0.66667
kennel,kennel,1
long,lang,0.75
final,finale,0.83333
final,finaal,0.83333
circulate,circuleren,0.7
introvert,introvert,1
exactly,exact,0.71429
plough,ploeg,0.66667
omen,omen,1
schizophrenic,schizofreen,0.61538
aspiration,aspiratie,0.8
bed,bed,1
lightly,licht,0.57143
portrait,portret,0.75
bastard,bastaard,0.875
telescope,telescoop,0.77778
instance,instantie,0.77778
tactic,tactiek,0.71429
truck,truck,1
barn,barak,0.6
brand,brandmerk,0.55556
lecturer,lector,0.625
adieu,adieu,1
gallery,galerij,0.57143
gallery,galerie,0.57143
prickle,prikkelen,0.66667
affair,affaire,0.85714
sheriff,sheriff,1
winner,winnares,0.625
winner,winnaar,0.71429
rasp,raspen,0.66667
employee,employé,0.75
misty,mistig,0.66667
endless,eindeloos,0.55556
gray,grauw,0.6
evolution,evolutie,0.77778
topaz,topaas,0.66667
gram,gram,1
official,officieel,0.77778
problem,probleem,0.875
freeze,vriezen,0.57143
computer,computer,1
powder,poederen,0.625
powder,poeder,0.83333
recently,recent,0.75
recently,recentelijk,0.63636
humane,humaan,0.66667
nightmare,nachtmerrie,0.54545
state,staat,0.6
state,stand,0.6
state,situatie,0.625
tunic,tuniek,0.66667
correctly,correct,0.77778
tent,tent,1
efficiency,efficiëntie,0.58333
defense,defensie,0.875
antisocial,asociaal,0.6
pacifist,pacifist,1
inhale,ophalen,0.57143
discrimination,discriminatie,0.85714
cent,cent,1
immense,immens,0.85714
policy,polis,0.66667
controller,controller,1
controller,controleur,0.8
hamburg,hamburg,1
brunch,brunch,1
debtor,debiteur,0.625
license,licentie,0.75
steep,steil,0.6
ripen,rijpen,0.83333
ink,inkt,0.75
conical,conisch,0.57143
wreck,wrak,0.6
speaker,spreker,0.71429
party,party,1
party,partij,0.66667
reactionary,reactionair,0.81818
effect,effect,1
frequently,frequent,0.8
single,single,1
well,wel,0.75
accurate,accuraat,0.75
dose,dosis,0.6
laurel,lauwer,0.66667
laurel,laurier,0.71429
rest,rust,0.75
rest,rest,1
puritan,puriteins,0.66667
vitamin,vitamine,0.875
footballer,voetballer,0.8
definitive,definitief,0.8
historic,historisch,0.8
burden,beladen,0.57143
propeller,propeller,1
vibration,vibratie,0.77778
page,page,1
twitter,twitteren,0.77778
twitter,kwetteren,0.55556
overlay,overlappen,0.6
kettle,ketel,0.66667
allegory,allegorie,0.77778
hinder,verhinderen,0.54545
journal,journaal,0.875
expansion,expansie,0.77778
paper,papier,0.83333
instinct,instinct,1
stamp,stampen,0.71429
stamp,stempel,0.57143
tongue,tong,0.66667
political,politiek,0.66667
washington,washington,1
strategy,strategie,0.77778
jubilee,jubileum,0.75
veil,voile,0.6
museum,museum,1
accountant,accountant,1
windmill,windmolen,0.66667
inner,intern,0.66667
inner,innerlijk,0.55556
inspiration,inspiratie,0.81818
viaduct,viaduct,1
cricket,cricket,1
neutral,neutraal,0.875
hi,hoi,0.66667
gain,gewin,0.6
overflow,overlopen,0.55556
ear,aar,0.66667
he,hem,0.66667
limit,limiet,0.83333
cello,cel,0.6
cello,cello,1
opera,opera,1
universal,universeel,0.8
penny,penny,1
pianist,pianist,1
twist,twist,1
education,educatie,0.77778
balcony,balkon,0.71429
cavalry,cavalerie,0.66667
offensive,offensief,0.77778
gondola,gondel,0.71429
chemist,chemicus,0.625
star,ster,0.75
ecstatic,extatisch,0.55556
atheist,atheïst,0.75
atheism,atheïsme,0.66667
portion,portie,0.71429
specialize,specialiseren,0.69231
folklore,folklore,1
pardon,pardon,1
protest,protest,1
protest,protesteren,0.63636
toenail,teennagel,0.55556
captain,kapitein,0.625
swan,zwaan,0.6
anticlimax,anticlimax,1
ration,rantsoen,0.625
smack,smakken,0.57143
tumour,tumor,0.83333
carnivore,carnivoor,0.77778
force,forceren,0.625
fit,fit,1
japanese,japans,0.75
cactus,cactus,1
even,effen,0.6
even,even,1
orchestra,orkest,0.55556
weather,weer,0.57143
weather,weder,0.57143
fetish,fetisj,0.83333
net,net,1
net,netto,0.6
barometer,barometer,1
anthropology,antropologie,0.75
tornado,tornado,1
active,actief,0.66667
economics,economie,0.77778
credit,krediet,0.71429
credit,credit,1
permit,permitteren,0.54545
intrigue,intrigeren,0.7
intrigue,intrige,0.875
fantastic,fantastisch,0.81818
campaign,campagne,0.75
bayonet,bajonet,0.85714
moral,moraal,0.83333
moral,moreel,0.66667
landscape,landschap,0.77778
calm,kalm,0.75
leaky,lek,0.6
type,type,1
type,typen,0.8
calf,kalf,0.75
dogma,dogma,1
berlin,berlijn,0.85714
warm,warm,1
blindfold,blinddoek,0.66667
flora,flora,1
bungalow,bungalow,1
vodka,wodka,0.8
give,geven,0.6
climax,climax,1
degenerate,degenereren,0.72727
rib,rib,1
president,president,1
lesbian,lesbisch,0.625
lesbian,lesbienne,0.66667
capitalist,kapitalist,0.9
operate,opereren,0.625
deck,dek,0.75
fable,fabel,0.6
before,tevoren,0.57143
plantation,plantage,0.6
missionary,missionaris,0.81818
combination,combinatie,0.81818
therapy,therapie,0.75
grammar,grammatica,0.6
willing,gewillig,0.625
bonn,bonn,1
wage,gage,0.75
unintelligent,onintelligent,0.92308
bond,band,0.75
interruption,interruptie,0.83333
literature,literatuur,0.8
literature,litteratuur,0.72727
decree,decreet,0.85714
debit,debet,0.8
surprise,surprise,1
linear,lineair,0.85714
overweight,overwicht,0.8
revenge,revanche,0.625
whist,whist,1
inbred,ingeboren,0.55556
jamaica,jamaica,1
grade,graad,0.6
paperback,paperback,1
miserable,miserabel,0.77778
scrape,schrappen,0.66667
scrape,schrapen,0.75
regiment,regiment,1
task,taak,0.75
bitterness,bitterheid,0.7
matter,materie,0.57143
hallucination,hallucinatie,0.84615
mini,minirok,0.57143
modern,modern,1
mint,munt,0.75
horde,horde,1
alibi,alibi,1
impotent,impotent,1
moscow,moskou,0.66667
panel,paneel,0.83333
regular,regulier,0.75
testament,testament,1
alarm,alarmeren,0.55556
alarm,alarm,1
definitely,definitief,0.7
principle,principe,0.88889
consumer,consument,0.77778
ambassador,ambassadeur,0.81818
acne,acne,1
stop,stop,1
stop,stoppen,0.57143
meditate,mediteren,0.66667
bar,bar,1
architecture,architectuur,0.83333
ban,ban,1
stammer,stamelen,0.625
bah,bah,1
reference,referentie,0.8
artificial,artificieel,0.81818
tolerance,tolerantie,0.8
motto,motto,1
typist,typiste,0.85714
hygiene,hygiëne,0.75
periscope,periscoop,0.77778
initiative,initiatief,0.8
arsenic,arsenicum,0.77778
ether,ether,1
basis,basis,1
chrysanthemum,chrysant,0.61538
reservation,reservering,0.63636
basil,basilicum,0.55556
basin,bassin,0.83333
idol,idool,0.8
personally,persoonlijk,0.54545
encyclopaedia,encyclopedie,0.84615
harshness,hardheid,0.55556
tank,tank,1
gangster,gangster,1
quiz,quiz,1
neat,net,0.75
balance,balanceren,0.7
balance,balans,0.71429
pessimistic,pessimistisch,0.84615
seven,zeven,0.8
shame,schande,0.57143
shame,schaamte,0.625
euthanasia,euthanasie,0.9
abscess,abces,0.71429
make,maken,0.8
make,maaksel,0.57143
jewel,juweel,0.66667
wheel,wiel,0.6
evolve,evolueren,0.55556
doorbell,deurbel,0.625
unlimited,ongelimiteerd,0.61538
kip,kip,1
jealous,jaloers,0.57143
kid,kind,0.75
butter,boter,0.66667
smoker,roker,0.66667
uninterested,ongeïnteresseerd,0.52941
rome,rome,1
etiquette,etiket,0.55556
etiquette,etiquette,1
protocol,protocol,1
isolate,isoleren,0.625
transistor,transistor,1
identify,identificeren,0.53846
candidate,kandidaat,0.66667
legion,legioen,0.85714
character,karakter,0.66667
slurp,slurpen,0.71429
discreet,discreet,1
signal,signaal,0.85714
greenland,groenland,0.88889
dean,decaan,0.66667
dean,deken,0.6
theatre,theater,0.71429
unstable,instabiel,0.66667
plot,komplot,0.57143
molecule,molecuul,0.75
bolt,bout,0.75
keeper,keeper,1
sympathetic,sympathiek,0.63636
gloss,glans,0.6
intellectual,intellectueel,0.84615
negative,negatief,0.75
pair,paar,0.75
amsterdam,amsterdam,1
initial,initiaal,0.875
editor,editor,1
fraction,fractie,0.75
fork,vork,0.75
form,vorm,0.75
analyse,analyseren,0.7
failure,failliet,0.625
blindness,blindheid,0.66667
analyst,analist,0.85714
fort,fort,1
whiskey,whisky,0.85714
cosmos,kosmos,0.83333
mystical,mystiek,0.625
classic,klassiek,0.625
shit,schijt,0.66667
vertical,vertikaal,0.77778
vertical,verticaal,0.88889
digital,digitaal,0.875
marxism,marxisme,0.875
garland,guirlande,0.66667
diet,dieet,0.8
unwell,onwel,0.66667
weekend,weekend,1
weekend,weekeinde,0.77778
jacket,jacket,1
jacket,jack,0.66667
gorilla,gorilla,1
proletariat,proletariaat,0.91667
morphology,morfologie,0.6
milk,melk,0.75
anticipation,anticipatie,0.83333
reptile,reptiel,0.71429
geometrical,geometrisch,0.72727
lynch,lynchen,0.71429
nectar,nectar,1
apartheid,apartheid,1
item,item,1
excellence,excellentie,0.81818
section,sectie,0.71429
round,ronde,0.6
round,rond,0.8
olympic,olympisch,0.77778
worm,worm,1
worm,wurm,0.75
bombardment,bombardement,0.91667
scarce,schriel,0.57143
afghanistan,afghanistan,1
hypocritical,hypocriet,0.58333
drunkard,dronkaard,0.77778
dwarf,dwerg,0.6
clerk,klerk,0.8
stem,stam,0.75
stem,steel,0.6
alto,alt,0.75
simultaneous,simultaan,0.58333
suggestion,suggestie,0.8
boo,boe,0.66667
nylon,nylon,1
massage,masseren,0.625
massage,massage,1
watertight,waterdicht,0.8
discus,discus,1
peru,peru,1
sharpen,scherpen,0.75
sharpen,slijpen,0.57143
klaxon,claxon,0.83333
aspirin,aspirine,0.875
labyrinth,labyrint,0.88889
acceptable,acceptabel,0.8
walnut,walnoot,0.71429
olive,olijf,0.6
tokyo,tokio,0.8
melodrama,melodrama,1
arrive,arriveren,0.66667
claim,claim,1
claim,claimen,0.71429
istanbul,istanboel,0.77778
agent,agent,1
council,concilie,0.625
nonchalant,nonchalant,1
chemical,chemisch,0.625
designer,designer,1
steward,steward,1
cosmonaut,kosmonaut,0.88889
mam,ma,0.66667
mam,mam,1
mam,mamma,0.6
man,man,1
neck,nek,0.75
gesture,gesticuleren,0.58333
gesture,geste,0.71429
shield,schild,0.66667
stability,stabiliteit,0.72727
lyric,lyrisch,0.71429
solder,soldeersel,0.6
solder,solderen,0.75
solder,soldeer,0.85714
group,groep,0.8
group,troep,0.6
monitor,monitoren,0.77778
maid,meid,0.75
texas,texas,1
finance,financieren,0.63636
finance,financiën,0.6
sarcastic,sarcastisch,0.81818
lunch,lunch,1
safari,safari,1
gladiolus,gladiool,0.66667
latin,latijns,0.71429
latin,latijn,0.83333
dialect,dialect,1
abnormal,abnormaal,0.88889
canada,canada,1
imperative,imperatief,0.8
dominate,domineren,0.66667
correct,correct,1
earlier,eerder,0.57143
monster,ondier,0.57143
monster,monster,1
california,californië,0.81818
carnival,carnaval,0.875
ministry,ministerie,0.7
thing,ding,0.6
frequent,frequent,1
first,eerst,0.6
exotic,exotisch,0.75
autocrat,autocraat,0.88889
anus,anus,1
inefficient,inefficiënt,0.83333
continuous,continu,0.7
orgy,orgie,0.6
gigantic,gigantisch,0.8
tractor,tractor,1
capsize,kapseizen,0.66667
marijuana,marihuana,0.88889
spectacle,spektakel,0.55556
nazi,nazi,1
efficient,efficiënt,0.8
potential,potentieel,0.8
haste,haast,0.6
wonder,wonder,1
normal,normaal,0.85714
omelette,omelet,0.75
radioactive,radioactief,0.81818
especially,speciaal,0.7
sigma,sigma,1
precise,precies,0.71429
lexicon,lexicon,1
shot,schot,0.8
shot,shot,1
shoe,schoen,0.66667
corner,corner,1
label,label,1
plume,pluim,0.6
analytic,analytisch,0.8
manoeuvre,manoeuvre,1
manoeuvre,manoeuvreren,0.75
enthusiasm,enthousiasme,0.83333
over,boven,0.6
over,over,1
zen,zen,1
conjunction,conjunctie,0.81818
gel,gel,1
morning,morgen,0.57143
staff,staf,0.8
kernel,kern,0.66667
lethargy,lethargie,0.77778
calendar,kalender,0.75
steadfast,standvastig,0.54545
ornament,ornament,1
gaga,gaga,1
geometric,geometrisch,0.81818
foreword,voorwoord,0.55556
wednesday,woensdag,0.55556
nationality,nationaliteit,0.76923
rugby,rugby,1
tour,tournee,0.57143
concentrate,concentreren,0.75
cancer,kanker,0.66667
shirt,shirt,1
revolution,revolutie,0.8
millimetre,millimeter,0.8
capable,capabel,0.71429
mark,merk,0.75
mark,mark,1
mart,markt,0.8
declaration,declaratie,0.81818
slumber,sluimeren,0.55556
then,toen,0.75
secondary,secundair,0.66667
strait,straat,0.83333
sahara,sahara,1
protein,proteïne,0.66667
doctor,dokter,0.66667
doctor,doctor,1
lava,lava,1
lamp,lamp,1
pan,pan,1
totally,totaal,0.71429
weave,weven,0.6
drain,draineren,0.55556
giraffe,giraffe,1
giraffe,giraf,0.71429
bottle,bottelen,0.75
unofficial,onofficieel,0.72727
aspect,aspect,1
asthma,astma,0.83333
application,applicatie,0.81818
pill,pil,0.75
grip,grijpen,0.57143
grip,griep,0.8
grit,gruis,0.6
grit,grind,0.6
grim,grimmig,0.57143
chamber,kamer,0.57143
miraculous,miraculeus,0.9
slavery,slavernij,0.66667
gramophone,grammofoon,0.6
explode,exploderen,0.7
genetics,genetica,0.875
colonial,koloniaal,0.77778
pioneer,pionier,0.85714
inject,injecteren,0.6
linoleum,linoleum,1
fitness,fitness,1
fitness,fitheid,0.57143
opium,opium,1
island,eiland,0.66667
insect,insect,1
insect,insekt,0.83333
mixer,mixer,1
practical,praktisch,0.55556
coupon,coupon,1
jerusalem,jeruzalem,0.88889
brute,bruut,0.6
strip,streep,0.66667
strip,strip,1
hysterical,hysterisch,0.7
fanatic,fanatiek,0.75
sherry,sherry,1
affection,affectie,0.77778
rainwater,regenwater,0.7
censor,censuur,0.71429
examine,examineren,0.7
file,file,1
illegal,illegaal,0.875
personnel,personeel,0.88889
field,veld,0.6
prism,prisma,0.83333
astronaut,astronaut,1
aster,aster,1
squash,squash,1
brandy,brandy,1
network,netwerk,0.85714
havana,havana,1
havana,havanna,0.85714
consternation,consternatie,0.84615
percentage,percentage,1
percentage,percent,0.7
oral,oraal,0.8
psychic,psychisch,0.77778
kilometre,kilometer,0.77778
allergy,allergie,0.75
dollar,dollar,1
zinc,zink,0.75
premium,premie,0.71429
parcel,perceel,0.71429
psyche,psyche,1
mild,mild,1
consultant,consulent,0.8
residue,residu,0.85714
defence,defensie,0.75
malaria,malaria,1
supervisor,supervisor,1
margin,marge,0.66667
africa,afrika,0.83333
sadist,sadist,1
sadism,sadisme,0.85714
score,score,1
score,scoren,0.83333
megaphone,megafoon,0.66667
diamond,diamant,0.71429
formality,formaliteit,0.72727
chimpanzee,chimpansee,0.9
nineteen,negentien,0.55556
middle,midden,0.66667
middle,gemiddeld,0.55556
escort,escorteren,0.6
paragraph,paragraaf,0.77778
ritual,ritueel,0.71429
ritual,rituaal,0.85714
hamburger,hamburger,1
minimum,minimum,1
minimum,miniem,0.71429
minimum,minimaal,0.625
despot,despoot,0.85714
lyrical,lyrisch,0.57143
biography,biografie,0.66667
siren,sirene,0.83333
technology,technologie,0.81818
sacred,sacraal,0.57143
ensemble,ensemble,1
hopeless,hopeloos,0.75
advice,advies,0.66667
synagogue,synagoge,0.88889
synagogue,synagoog,0.66667
blood,bloed,0.8
faculty,faculteit,0.66667
bloom,bloem,0.8
bloom,bloei,0.6
blunder,blunder,1
blunder,blooper,0.57143
mislead,misleiden,0.66667
sect,sekte,0.6
serenade,serenade,1
industrial,industrieel,0.81818
arrogant,arrogant,1
eunuch,eunuch,1
good,goed,0.75
socially,sociaal,0.75
association,associatie,0.81818
mystery,mysterie,0.75
puzzle,puzzel,0.66667
puzzle,puzzelen,0.75
token,teken,0.8
monsoon,moesson,0.71429
greengrocer,groenteboer,0.54545
clamp,kramp,0.6
clamp,klampen,0.57143
clamp,klamp,0.8
hard,hard,1
beret,baret,0.8
sober,sober,1
fist,vuist,0.6
comic,komisch,0.57143
harp,harp,1
thrombosis,trombose,0.7
print,printen,0.71429
assist,assisteren,0.6
pathetic,pathetisch,0.8
pleasant,plezant,0.75
refer,refereren,0.55556
tap,tap,1
inspection,inspectie,0.8
finland,finland,1
uncontrolled,ongecontroleerd,0.66667
copper,koper,0.66667
barbarian,barbaars,0.55556
barbarian,barbaar,0.66667
fiction,fictie,0.71429
symptom,symptoom,0.875
construct,construeren,0.63636
compartment,compartiment,0.91667
lease,leasen,0.83333
mentality,mentaliteit,0.72727
procession,processie,0.8
permanent,permanent,1
tackle,tackle,1
declare,declareren,0.7
declare,verklaren,0.55556
rower,roeier,0.66667
weapon,wapen,0.66667
commentary,commentaar,0.8
serene,sereen,0.66667
flute,fluit,0.6
most,meest,0.6
charm,charmeren,0.55556
charm,charme,0.83333
moss,mos,0.75
extremely,extreem,0.66667
unpopular,onpopulair,0.8
mammoth,mammoet,0.71429
organism,organisme,0.88889
sector,sector,1
metaphor,metafoor,0.75
relation,relatie,0.75
finn,fin,0.75
nervous,nerveus,0.85714
permission,permissie,0.8
cholera,cholera,1
ferret,fret,0.66667
cynical,cynisch,0.57143
lisbon,lissabon,0.75
tender,teder,0.83333
tender,teer,0.66667
expert,expert,1
barrack,barak,0.71429
restaurant,restauratie,0.72727
restaurant,restaurant,1
waterfall,waterval,0.77778
mean,menen,0.6
consume,consumeren,0.7
point,punt,0.6
dancer,danser,0.83333
dancer,danseres,0.625
openness,openheid,0.625
civilize,civiliseren,0.63636
platinum,platina,0.75
instrument,instrument,1
apostle,apostel,0.71429
ireland,ierland,0.71429
meeting,ontmoeting,0.6
meeting,zitting,0.57143
meeting,meeting,1
gay,gay,1
gas,gas,1
pessimist,pessimist,1
sexuality,seksualiteit,0.58333
mystic,mysticus,0.75
mystic,mystiek,0.71429
decoration,decoratie,0.8
italy,italië,0.57143
wherein,waarin,0.57143
textile,textiel,0.71429
neutron,neutron,1
heraldry,heraldiek,0.66667
belfry,belfort,0.71429
leopard,luipaard,0.625
safe,safe,1
werewolf,weerwolf,0.75
halve,halveren,0.625
chemistry,chemie,0.55556
spend,spenderen,0.55556
openly,openlijk,0.625
alternative,alternatief,0.81818
apple,appel,0.6
discipline,discipline,1
alternate,alterneren,0.7
egypt,egypte,0.83333
sensational,sensationeel,0.83333
sicily,sicilië,0.625
bamboo,bamboe,0.83333
walrus,walrus,1
motor,motor,1
absolutely,absoluut,0.6
magnificent,magnifiek,0.72727
accelerate,accelereren,0.72727
server,server,1
pen,pen,1
eliminate,elimineren,0.7
scalp,scalp,1
epic,episch,0.66667
visionary,visionair,0.77778
